Model,Dataset,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,All Features,0.819672131147541,0.7692307692307693,0.5555555555555556,0.6451612903225806,0.8927648578811369
Naive Bayes,All Features,0.39344262295081966,0.30612244897959184,0.8333333333333334,0.44776119402985076,0.5484496124031008
K-Nearest Neighbor,All Features,0.7704918032786885,0.625,0.5555555555555556,0.5882352941176471,0.8339793281653747
Support Vector Machine,All Features,0.819672131147541,0.7333333333333333,0.6111111111111112,0.6666666666666666,0.8824289405684754
Decision Tree,All Features,0.819672131147541,0.8181818181818182,0.5,0.6206896551724138,0.7209302325581396
Random Forest,All Features,0.8360655737704918,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.8669250645994832
Multilayer Perceptron,All Features,0.6885245901639344,0.0,0.0,0.0,0.4935400516795866
Logistic Regression,Selected Features,0.8360655737704918,0.75,0.6666666666666666,0.7058823529411765,0.8979328165374676
Naive Bayes,Selected Features,0.8688524590163934,0.8125,0.7222222222222222,0.7647058823529411,0.9289405684754521
K-Nearest Neighbor,Selected Features,0.7540983606557377,0.5882352941176471,0.5555555555555556,0.5714285714285714,0.8094315245478035
Support Vector Machine,Selected Features,0.8032786885245902,0.6875,0.6111111111111112,0.6470588235294118,0.8798449612403101
Decision Tree,Selected Features,0.819672131147541,0.8888888888888888,0.4444444444444444,0.5925925925925926,0.7041343669250646
Random Forest,Selected Features,0.8524590163934426,0.8461538461538461,0.6111111111111112,0.7096774193548387,0.8423772609819121
Multilayer Perceptron,Selected Features,0.7049180327868853,0.0,0.0,0.0,0.8578811369509044
